Year,Sex,Total Civilian Population,Total Civilian Labor Force,Total Employed - Agriculture,Total Employed - Nonagricultural,Total Employed,Total Unemployed,Total Not in Labor Force
1980,Men,79398,61453,2709,54477,57186,4267,17945
1981,Men,80511,61974,2700,54697,57397,4577,18537
1982,Men,81523,62450,2736,53534,56271,6179,19073
1983,Men,82531,63047,2704,54083,56787,6260,19484
1984,Men,83605,63835,2668,56423,59091,4744,19771
1985,Men,84469,64411,2535,57356,59891,4521,20058
1986,Men,85798,65422,2511,58381,60892,4530,20376
1987,Men,86899,66207,2543,59564,62107,4101,20692
1988,Men,87857,66927,2493,60780,63273,3655,20930
1989,Men,88762,67840,2513,61802,64315,3525,20923
1990,Men,90377,69011,2546,62559,65104,3906,21367
1991,Men,91278,69168,2589,61634,64223,4946,22110
1992,Men,92270,69964,2575,61866,64440,5523,22306
1993,Men,93332,70404,2478,62871,65349,5055,22927
1994,Men,94355,70817,2554,63896,66450,4367,23538
1995,Men,95178,71360,2559,64818,67377,3983,23818
1996,Men,96206,72087,2573,65634,68207,3880,24119
1997,Men,97715,73261,2552,67133,69685,3577,24454
1998,Men,98758,73959,2553,68140,70693,3266,24799
1999,Men,99722,74512,2432,69014,71446,3066,25210
2000,Men,101964,76280,1861,71444,73305,2975,25684
2001,Men,103282,76886,1708,71488,73196,3690,26396
2002,Men,104585,77500,1724,71179,72903,4597,27085
2003,Men,106435,78238,1695,71636,73332,4906,28197
2004,Men,107710,78980,1687,72838,74524,4456,28730
2005,Men,109151,80033,1654,74319,75973,4059,29119
2006,Men,110605,81255,1663,75838,77502,3753,29350
2007,Men,112173,82136,1604,76650,78254,3882,30036
2008,Men,113113,82520,1650,75836,77486,5033,30593
2009,Men,114136,82123,1607,72062,73670,8453,32013
2010,Men,115174,81985,1665,71694,73359,8626,33189
2011,Men,116317,81975,1698,72592,74290,7684,34343
2012,Men,117343,82327,1626,73930,75555,6771,35017
2013,Men,118555,82667,1611,74742,76353,6314,35889
2014,Men,119748,82882,1685,76007,77692,5190,36865
2015,Men,121101,83620,1826,77305,79131,4490,37481
2016,Men,122497,84755,1839,78729,80568,4187,37743
2017,Men,123275,85145,1843,79559,81402,3743,38130
2018,Men,124678,86096,1797,80902,82698,3398,38582
2019,Men,125353,86687,1790,81670,83460,3227,38667
2020,Men,125922,85204,1699,76862,78560,6644,40718
1980,Women,88348,45487,656,41461,42117,3370,42861
1981,Women,89618,46696,667,42333,43000,3696,42922
1982,Women,90748,47755,665,42591,43256,4499,42993
1983,Women,91684,48503,680,43367,44047,4457,43181
1984,Women,92778,49709,653,45262,45915,3794,43068
1985,Women,93736,51050,644,46615,47259,3791,42686
1986,Women,94789,52413,652,48054,48706,3707,42376
1987,Women,95853,53658,666,49668,50334,3324,42195
1988,Women,96756,54742,676,51020,51696,3046,42014
1989,Women,97630,56030,687,52341,53027,3003,41601
1990,Women,98787,56829,678,53011,53689,3140,41957
1991,Women,99646,57178,680,52815,53496,3683,42468
1992,Women,100535,58141,672,53380,54052,4090,42394
1993,Women,101506,58795,637,54273,54910,3885,42711
1994,Women,102460,60239,855,55755,56610,3629,42221
1995,Women,103406,60944,881,56642,57523,3421,42462
1996,Women,104385,61857,871,57630,58501,3356,42528
1997,Women,105418,63036,847,59026,59873,3162,42382
1998,Women,106462,63714,825,59945,60771,2944,42748
1999,Women,108031,64855,849,61193,62042,2814,43175
2000,Women,110613,66303,602,62983,63586,2717,44310
2001,Women,111811,66848,591,63147,63737,3111,44962
2002,Women,112985,67363,587,62995,63582,3781,45621
2003,Women,114733,68272,580,63824,64404,3868,46461
2004,Women,115647,68421,546,64182,64728,3694,47225
2005,Women,116931,69288,544,65213,65757,3531,47643
2006,Women,118210,70173,543,66382,66925,3247,48037
2007,Women,119694,70988,490,67302,67792,3196,48707
2008,Women,120675,71767,518,67358,67876,3891,48908
2009,Women,121665,72019,496,65712,66208,5811,49646
2010,Women,122656,71904,541,65164,65705,6199,50752
2011,Women,123300,71642,556,65023,65579,6063,51658
2012,Women,125941,72648,560,66353,66914,5734,53293
2013,Women,127124,72722,519,67058,67577,5146,54401
2014,Women,128199,73039,552,68061,68613,4426,55159
2015,Women,129700,73510,597,69106,69703,3807,56190
2016,Women,131040,74432,621,70247,70868,3564,56608
2017,Women,131804,75175,611,71324,71936,3239,56629
2018,Women,133112,75978,628,72435,73063,2916,57134
2019,Women,133822,76852,635,73443,74078,2774,56970
2020,Women,134407,75538,650,68585,69234,6304,58869
